FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,VintagePrice,VintageRatingPriceRatio,Age
Claude Riffault Les Boucauds Sancerre Blanc 2017,Claude Riffault,Les Boucauds Sancerre Blanc,2017,Upper Loire Valley,White,4.1,241,28.25,0.145132743,4
Luigi Bosca Gala 3 White Blend 2014,Luigi Bosca,Gala 3 White Blend,2014,,,4.1,238,24.17,0.169631775,7
Anselmi Capitel Croce 2015,Anselmi,Capitel Croce,2015,Northern Italy,White,4.1,234,23,0.17826087,6
Dr. Loosen Ürziger Würzgarten Riesling Spätlese 2017,Dr. Loosen,Ürziger Würzgarten Riesling Spätlese,2017,German,Riesling,4.1,232,26.95,0.152133581,4
Tokara Chardonnay Reserve Collection 2018,Tokara,Chardonnay Reserve Collection,2018,South African,Chardonnay,4.1,224,20.99,0.19533111,3
Boschendal Elgin Chardonnay 2016,Boschendal,Elgin Chardonnay,2016,South African,Chardonnay,4.1,221,29.94,0.136940548,5
Greywacke Chardonnay 2014,Greywacke,Chardonnay,2014,New Zealand,Chardonnay,4.1,210,29.95,0.136894825,7
Warwick White Lady 2016,Warwick,White Lady,2016,South African,Chardonnay,4.1,207,20.75,0.197590361,5
Niepoort Douro Redoma Branco 2018,Niepoort,Douro Redoma Branco,2018,Northern Portugal,White,4.1,200,21,0.195238095,3
Lungarotti Torre di Giano Vigna Il Pino Torgiano Bianco 2012,Lungarotti,Torre di Giano Vigna Il Pino Torgiano Bianco,2012,Central Italy,White,4.1,199,27.08,0.15140325,9
Mullineux Old Vines White 2018,Mullineux,Old Vines White,2018,,,4.1,199,24.75,0.165656566,3
Saint Clair Omaka Reserve Chardonnay 2017,Saint Clair,Omaka Reserve Chardonnay,2017,New Zealand,Chardonnay,4.1,195,20.05,0.204488778,4
Château de Tracy Pouilly-Fumé 2018,Château de Tracy,Pouilly-Fumé,2018,Upper Loire Valley,White,4.1,190,21,0.195238095,3
Santadi Villa Di Chiesa Valli di Porto Pino 2015,Santadi,Villa Di Chiesa Valli di Porto Pino,2015,Southern Italy,White,4.1,184,27.78,0.147588193,6
Yves Cuilleron Viognier Les Vignes d'à Côté 2018,Yves Cuilleron,Viognier Les Vignes d'à Côté,2018,Northern Rhône,White,4.1,178,21,0.195238095,3
Guillemot-Michel Quintaine Viré-Clessé 2015,Guillemot-Michel,Quintaine Viré-Clessé,2015,Burgundy,Macônnais White,4.1,167,24,0.170833333,6
Ascheri Arneis Langhe 2017,Ascheri,Arneis Langhe,2017,Northern Italy,White,4.1,162,21.4,0.191588785,4
Mosse Chenin 2018,Mosse,Chenin,2018,,,4.1,158,22,0.186363636,3
Herdade do Portocarro Alfaiate 2016,Herdade do Portocarro,Alfaiate,2016,Southern Portugal,White,4.1,158,24,0.170833333,5
Laura Aschero Riviera Ligure di Ponente Pigato 2018,Laura Aschero,Riviera Ligure di Ponente Pigato,2018,Northern Italy,White,4.1,154,25.37,0.161608199,3
Domaine Bzikot Puligny-Montrachet 2016,Domaine Bzikot,Puligny-Montrachet,2016,Burgundy,Côte de Beaune White,4.1,152,49,0.083673469,5
Abadia Retuerta Le Domaine Blanco de Guarda 2015,Abadia Retuerta,Le Domaine Blanco de Guarda,2015,,,4.1,149,29,0.14137931,6
Au Bon Climat Wild Boy Chardonnay 2017,Au Bon Climat,Wild Boy Chardonnay,2017,Californian,Chardonnay,4.1,148,23.76,0.172558923,4
Badenhorst White Blend 2016,Badenhorst,White Blend,2016,,,4.1,145,28,0.146428571,5
Greywacke Chardonnay 2015,Greywacke,Chardonnay,2015,New Zealand,Chardonnay,4.1,141,27.99,0.146480886,6
Clos de Gat Chardonnay 2016,Clos de Gat,Chardonnay,2016,,,4.1,140,29,0.14137931,5
Constantia Glen Two Blanc 2016,Constantia Glen,Two Blanc,2016,,,4.1,137,23.99,0.170904544,5
Paul Prieur & Fils Monts Damnes Sancerre 2016,Paul Prieur & Fils,Monts Damnes Sancerre,2016,Upper Loire Valley,White,4.1,134,27,0.151851852,5
Kovács Nimród Battonage Chardonnay Monopole 2015,Kovács Nimród,Battonage Chardonnay Monopole,2015,,,4.1,134,20.75,0.197590361,6
Henri Bourgeois Sancerre Le MD De Bourgeois 2017,Henri Bourgeois,Sancerre Le MD De Bourgeois,2017,Upper Loire Valley,White,4.1,128,27.5,0.149090909,4
Domaine de la Janasse Viognier Principauté d'Orange 2018,Domaine de la Janasse,Viognier Principauté d'Orange,2018,Southern Rhône,White,4.1,122,20.1,0.2039801,3
Greywacke Chardonnay 2013,Greywacke,Chardonnay,2013,New Zealand,Chardonnay,4.1,119,29,0.14137931,8
Luigi Maffini Pietraincatenata Fiano 2015,Luigi Maffini,Pietraincatenata Fiano,2015,Southern Italy,White,4.1,116,25,0.164,6
