FullName,Winery,WineName,Year,Region,RegionalVariety,WineRating,WineRatingCount,WinePrice,WineRatingPriceRatio
Joseph Mellot L'Original 2015,Joseph Mellot,L'Original,2015,,,4.2,88,35,0.12
Pilato Malvazija Sur Lie 2015,Pilato,Malvazija Sur Lie,2015,,,4.5,50,34.8,0.129310345
Stargazer Chardonnay 2017,Stargazer,Chardonnay,2017,Australian,Chardonnay,4.2,91,48.9,0.085889571
Samuel Billaud Chablis 1er Cru 'Montee de Tonnerre' (Les Grands Terroirs) 2017,Samuel Billaud,Chablis 1er Cru 'Montee de Tonnerre' (Les Grands Terroirs),2017,Burgundy,Chablis,4.1,620,33.88,0.121015348
Domaine Bachey-Legros Vieilles Vignes Chassagne-Montrachet 1er Cru 'Morgeot' 2015,Domaine Bachey-Legros,Vieilles Vignes Chassagne-Montrachet 1er Cru 'Morgeot',2015,Burgundy,Côte de Beaune White,4.2,290,30.09,0.139581256
Sadie Family Skurfberg (Die Ouwingerdreeks) 2018,Sadie Family,Skurfberg (Die Ouwingerdreeks),2018,South African,Chenin Blanc,4.3,884,40.86,0.105237396
Verget Puligny-Montrachet 1er Cru 'Sous le Puits' 2015,Verget,Puligny-Montrachet 1er Cru 'Sous le Puits',2015,Burgundy,Côte de Beaune White,4.1,162,45,0.091111111
Johanneshof Reinisch Satzing Rotgipfler 2015,Johanneshof Reinisch,Satzing Rotgipfler,2015,,,4.1,195,32.99,0.124280085
Château Haut-Brion La Clarté de Haut-Brion Pessac-Léognan Blanc (Les Plantiers du Haut-Brion) 2016,Château Haut-Brion,La Clarté de Haut-Brion Pessac-Léognan Blanc (Les Plantiers du Haut-Brion),2016,Bordeaux,White,4.1,1193,76.66,0.053482912
Varner Bee Block Spring Ridge Vineyard Chardonnay 2014,Varner,Bee Block Spring Ridge Vineyard Chardonnay,2014,Californian,Chardonnay,4.2,110,42,0.1
Enric Soler Nun Vinya dels Taus 2017,Enric Soler,Nun Vinya dels Taus,2017,,,4.3,448,39.4,0.109137056
Niepoort Douro Reserva Redoma Branco 2015,Niepoort,Douro Reserva Redoma Branco,2015,Northern Portugal,White,4.3,2758,30.83,0.139474538
Jermann Vintage Tunina 2014,Jermann,Vintage Tunina,2014,Northern Italy,White,4.3,6620,44.35,0.096956032
Régnard Grand Régnard Chablis 2017,Régnard,Grand Régnard Chablis,2017,Burgundy,Chablis,4.2,4368,30.16,0.139257294
Alheit Vineyards Cartology (Bush Vines) 2014,Alheit Vineyards,Cartology (Bush Vines),2014,,,4.2,2239,36,0.116666667
Château Fuissé Pouilly-Fuissé Tête de Cru 2016,Château Fuissé,Pouilly-Fuissé Tête de Cru,2016,Burgundy,Macônnais White,4.1,4546,30,0.136666667
Château de Beaucastel Châteauneuf-du-Pape Blanc 2013,Château de Beaucastel,Châteauneuf-du-Pape Blanc,2013,Southern Rhône,White,4.3,3959,45.37,0.094776284
Shafer Red Shoulder Ranch Chardonnay 2016,Shafer,Red Shoulder Ranch Chardonnay,2016,Napa Valley,Chardonnay,4.3,3035,32.92,0.130619684
Francois Carillon Puligny-Montrachet 2015,Francois Carillon,Puligny-Montrachet,2015,Burgundy,Côte de Beaune White,4.2,2191,35,0.12
Thevenet Quintaine Cuvée E.J. Thevenet Viré-Clessé 2010,Thevenet Quintaine,Cuvée E.J. Thevenet Viré-Clessé,2010,Burgundy,Macônnais White,4.2,2398,44.99,0.093354079
La Chablisienne Château Grenouilles Chablis Grand Cru 2012,La Chablisienne,Château Grenouilles Chablis Grand Cru,2012,Burgundy,Chablis,4.2,2428,41.93,0.100166945
Alheit Vineyards Cartology (Bush Vines) 2013,Alheit Vineyards,Cartology (Bush Vines),2013,,,4.2,2239,47.68,0.088087248
Kershaw Chardonnay (Clonal Selection) 2016,Kershaw,Chardonnay (Clonal Selection),2016,South African,Chardonnay,4.3,1106,39.99,0.107526882
Bucaco Branco Reservado 2013,Bucaco,Branco Reservado,2013,,,4.3,1522,41.59,0.103390238
Viña Cobos Bramare Marchiori Vineyard Chardonnay 2015,Viña Cobos,Bramare Marchiori Vineyard Chardonnay,2015,Argentinian,Chardonnay,4.3,2060,31.95,0.13458529
DeMorgenzon Reserve Chardonnay 2015,DeMorgenzon,Reserve Chardonnay,2015,South African,Chardonnay,4,1102,45.42,0.088066931
Château Fuissé Pouilly-Fuissé Le Clos Monopole 2015,Château Fuissé,Pouilly-Fuissé Le Clos Monopole,2015,Burgundy,Macônnais White,4.3,846,46.67,0.092136276
Domaine Georges Vernay Les Terrasses de L'Empire Condrieu 2016,Domaine Georges Vernay,Les Terrasses de L'Empire Condrieu,2016,Northern Rhône,Condrieu,4.2,1606,49.57,0.084728667
Chivite Navarra Coleccion 125 Blanco 2013,Chivite,Navarra Coleccion 125 Blanco,2013,Spanish,Chardonnay,4.2,1801,44.42,0.094552004
Domaine Alain Chavy Puligny-Montrachet 2015,Domaine Alain Chavy,Puligny-Montrachet,2015,Burgundy,Côte de Beaune White,4.1,1069,40.99,0.100024396
Bucaco Branco Reservado 2014,Bucaco,Branco Reservado,2014,,,4.3,1522,45.33,0.094859916
Vincent Girardin Les Vieilles Vignes Puligny-Montrachet 2015,Vincent Girardin,Les Vieilles Vignes Puligny-Montrachet,2015,Burgundy,Côte de Beaune White,4.2,1722,44.32,0.094765343
Henri Bourgeois Sancerre Jadis 2015,Henri Bourgeois,Sancerre Jadis,2015,Upper Loire Valley,White,4.1,853,33.52,0.122315036
Bellavista Uccellanda Curtefranca 2011,Bellavista,Uccellanda Curtefranca,2011,Northern Italy,White,4.1,729,40,0.1025
Joh. Jos. Prüm Graacher Himmelreich Riesling Spätlese 2009,Joh. Jos. Prüm,Graacher Himmelreich Riesling Spätlese,2009,German,Riesling,4.2,1222,34.99,0.120034296
Tiefenbrunner Feldmarschall von Fenner Müller 2016,Tiefenbrunner,Feldmarschall von Fenner Müller,2016,Northern Italy,Müller Thurgau,4.1,1718,41.4,0.099033816
Henri Bourgeois Sancerre D'Antan 2014,Henri Bourgeois,Sancerre D'Antan,2014,Upper Loire Valley,White,4.2,1277,30.67,0.136941637
Anselmo Mendes Parcela Única Escolha 2014,Anselmo Mendes,Parcela Única Escolha,2014,Portuguese,Vinho Verde White,4.3,1406,30.41,0.141400855
Bachelet-Monnot Puligny-Montrachet 2016,Bachelet-Monnot,Puligny-Montrachet,2016,Burgundy,Côte de Beaune White,4.2,1193,43.7,0.09610984
Bucaco Branco Reservado 2015,Bucaco,Branco Reservado,2015,,,4.3,1522,38.9,0.110539846
J.A. Ferret Clos des Prouges Pouilly-Fuissé 2016,J.A. Ferret,Clos des Prouges Pouilly-Fuissé,2016,Burgundy,Macônnais White,4.2,519,35.29,0.119013885
André Perret Condrieu Chery 2015,André Perret,Condrieu Chery,2015,Northern Rhône,Condrieu,4.3,1058,49.96,0.086068855
Jean-Louis Chavy Puligny-Montrachet 2016,Jean-Louis Chavy,Puligny-Montrachet,2016,Burgundy,Côte de Beaune White,4.2,1445,40.75,0.103067485
Comte Lafond Sancerre Grande Cuvée Blanc 2016,Comte Lafond,Sancerre Grande Cuvée Blanc,2016,Upper Loire Valley,White,4.2,1384,35.22,0.119250426
Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Spätlese 2004,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Spätlese,2004,German,Riesling,4.2,1763,36.16,0.116150442
Marcel Deiss Riesling Alsace Grand Cru 'Altenberg de Bergheim' 2009,Marcel Deiss,Riesling Alsace Grand Cru 'Altenberg de Bergheim',2009,Alsace,Riesling,4.4,1417,48.73,0.090293454
Quintodecimo Giallo d'Arles Greco di Tufo 2018,Quintodecimo,Giallo d'Arles Greco di Tufo,2018,Southern Italy,White,4.3,1749,30.67,0.140202152
Joh. Jos. Prüm Graacher Himmelreich Riesling Auslese 2009,Joh. Jos. Prüm,Graacher Himmelreich Riesling Auslese,2009,German,Riesling,4.3,1052,34.99,0.122892255
Marcel Deiss Riesling Alsace Grand Cru 'Altenberg de Bergheim' 2011,Marcel Deiss,Riesling Alsace Grand Cru 'Altenberg de Bergheim',2011,Alsace,Riesling,4.4,1417,49.57,0.088763365
Domaine Zind Humbrecht Riesling Alsace Grand Cru Brand 2017,Domaine Zind Humbrecht,Riesling Alsace Grand Cru Brand,2017,Alsace,Riesling,4.3,2149,40,0.1075
Marc Colin Chassagne-Montrachet Les Encegnières 2015,Marc Colin,Chassagne-Montrachet Les Encegnières,2015,Burgundy,Côte de Beaune White,4.2,887,36.97,0.113605626
Louis Latour Puligny-Montrachet 2015,Louis Latour,Puligny-Montrachet,2015,Burgundy,Côte de Beaune White,4.1,1087,39,0.105128205
Domaine Henri Boillot Meursault 2017,Domaine Henri Boillot,Meursault,2017,Burgundy,Côte de Beaune White,4.1,1605,45.37,0.090368085
Hubert Lamy Saint-Aubin 1er Cru 'En Remilly' 2015,Hubert Lamy,Saint-Aubin 1er Cru 'En Remilly',2015,Burgundy,Côte de Beaune White,4.2,1305,45.37,0.092572184
HDV Chardonnay (Hyde Vineyard) 2015,HDV,Chardonnay (Hyde Vineyard),2015,Napa Valley,Chardonnay,4.3,1499,49.23,0.087345115
André Perret Condrieu Chery 2014,André Perret,Condrieu Chery,2014,Northern Rhône,Condrieu,4.3,1058,45.82,0.093845482
Jean-Louis Chavy Puligny-Montrachet 2017,Jean-Louis Chavy,Puligny-Montrachet,2017,Burgundy,Côte de Beaune White,4.2,1445,49.99,0.084016803
Louis Latour Meursault-Blagny Premier Cru Château de Blagny 2006,Louis Latour,Meursault-Blagny Premier Cru Château de Blagny,2006,Burgundy,Côte de Beaune White,4.1,1558,43.69,0.093842985
Mauro Godello Blanco 2017,Mauro,Godello Blanco,2017,,,4.2,598,31.31,0.134142447
J.A. Ferret Clos des Prouges Pouilly-Fuissé 2015,J.A. Ferret,Clos des Prouges Pouilly-Fuissé,2015,Burgundy,Macônnais White,4.2,519,40,0.105
Domaine de Chassorney Saint-Romain 'Combe Bazin' 2016,Domaine de Chassorney,Saint-Romain 'Combe Bazin',2016,Burgundy,Côte de Beaune White,4.1,718,40.54,0.101134682
Bachelet-Monnot Chassagne-Montrachet 2015,Bachelet-Monnot,Chassagne-Montrachet,2015,Burgundy,Côte de Beaune White,4.2,554,46.55,0.090225564
Louis Chèze Brèze Condrieu 2016,Louis Chèze,Brèze Condrieu,2016,Northern Rhône,Condrieu,4.2,590,31.93,0.131537739
Eric Morgat Vigneron Fidès 2015,Eric Morgat Vigneron,Fidès,2015,Loire,Chenin Blanc,4.2,1036,41.93,0.100166945
Louis Jadot - Domaine Duc de Magenta Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc 2014,Louis Jadot - Domaine Duc de Magenta,Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc,2014,Burgundy,Côte de Beaune White,4.3,1243,35.29,0.121847549
Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese 2010,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Auslese,2010,German,Riesling,4.4,2898,35.99,0.122256182
Domaine Gérard Thomas Saint-Aubin 1er Cru 'Murgers des Dents de Chien' 2015,Domaine Gérard Thomas,Saint-Aubin 1er Cru 'Murgers des Dents de Chien',2015,Burgundy,Côte de Beaune White,4.1,616,37,0.110810811
Mauro Godello Blanco 2015,Mauro,Godello Blanco,2015,,,4.2,598,45.99,0.091324201
Bader-Mimeur Chateau de Chassagne-Montrachet Blanc 2015,Bader-Mimeur,Chateau de Chassagne-Montrachet Blanc,2015,Burgundy,Côte de Beaune White,4,749,35,0.114285714
Domaine Zind Humbrecht Riesling Alsace Clos Windsbuhl 2012,Domaine Zind Humbrecht,Riesling Alsace Clos Windsbuhl,2012,Alsace,Riesling,4.2,1276,37.5,0.112
Jean-Michel Gerin La Loye Condrieu 2014,Jean-Michel Gerin,La Loye Condrieu,2014,Northern Rhône,Condrieu,4,821,36.67,0.109080993
Dönnhoff Felsenberg GG 2014,Dönnhoff,Felsenberg GG,2014,German,Riesling,4.2,574,39.95,0.105131414
